Factor,estimate,.y.,group1,group2,n1,n2,statistic,p,conf.low,conf.high,method,alternative,p.adj,Mean1,Mean2,Mean.diff.log,comparisons,lab.p.adj,lab.p,label,Sites
Clostridiales_bacterium,0.126288040366399,Value,BL,T04,20,20,131,0.349,-0.160485036125576,0.355131404265177,Wilcoxon,two.sided,0.99807,-2.68829574510859,-2.74647463809828,-0.0565494051442766,BL/T04,ns,ns,ns/ns,VA
Clostridiales_bacterium_Choco116,-0.0326288848313168,Value,BL,T04,20,20,96,0.756,-0.270988688282085,0.261208716351736,Wilcoxon,two.sided,0.99807,-2.72348706572784,-2.73509579748543,-0.0115418674070953,BL/T04,ns,ns,ns/ns,VA
Clostridiales_bacterium_KLE1615,0.0644213649357049,Value,BL,T04,20,20,122,0.546,-0.151261082885568,0.225364812127912,Wilcoxon,two.sided,0.99807,-2.62415838981307,-2.64140795313807,-0.0171024786294771,BL/T04,ns,ns,ns/ns,VA
Clostridium_butyricum,-0.209742446374558,Value,BL,T04,20,20,72,0.231,-0.517366198508548,0.159642374564303,Wilcoxon,two.sided,0.99807,-3.00060628696823,-2.81151368378136,0.173190497928107,BL/T04,ns,ns,ns/ns,VA
Clostridium_fessum,0.0902159504547992,Value,BL,T04,20,20,145,0.143,-0.0196758134355222,0.241724868910434,Wilcoxon,two.sided,0.99807,-2.56932284239099,-2.6638143283061,-0.0902898589784885,BL/T04,ns,ns,ns/ns,VA
Clostridium_leptum,-0.0263796033281242,Value,BL,T04,20,20,97,0.784,-0.332116012317885,0.208487533467406,Wilcoxon,two.sided,0.99807,-2.77166321067507,-2.69655997896103,0.072416686470515,BL/T04,ns,ns,ns/ns,VA
Clostridium_SGB4750,0.0483753615619787,Value,BL,T04,20,20,118,0.648,-0.256247346155534,0.329016828253229,Wilcoxon,two.sided,0.99807,-2.76072993091596,-2.823044691494,-0.0604502636315569,BL/T04,ns,ns,ns/ns,VA
Clostridium_SGB4751,-0.0372109767455157,Value,BL,T04,20,20,101,0.898,-0.420811003478129,0.267365001706044,Wilcoxon,two.sided,0.99807,-2.92652250031324,-2.85046856616289,0.0733005851584349,BL/T04,ns,ns,ns/ns,VA
Clostridium_SGB6179,-0.289643217269008,Value,BL,T04,20,20,46,0.0266,-0.565368187688621,-0.0269678871834178,Wilcoxon,two.sided,0.977426086956522,-2.93927488542944,-2.62396945681065,0.274068903769715,BL/T04,ns,*,*/ns,VA
Clostridium_sp_1001270H_150608_G6,-0.00699204149444776,Value,BL,T04,20,20,102,0.927,-0.284251879282172,0.241510715842845,Wilcoxon,two.sided,0.99807,-2.61334860815731,-2.58819304725447,0.0248443678094377,BL/T04,ns,ns,ns/ns,VA
Clostridium_sp_AF12_28,0.0379420458849573,Value,BL,T04,20,20,112,0.812,-0.216557928003474,0.301226620945175,Wilcoxon,two.sided,0.99807,-2.75324719166711,-2.7986324141986,-0.0443854514893764,BL/T04,ns,ns,ns/ns,VA
Clostridium_sp_AF20_17LB,-0.108122889147985,Value,BL,T04,20,20,84,0.452,-0.376742079715527,0.164001925552476,Wilcoxon,two.sided,0.99807,-2.87877707462063,-2.72107601520785,0.146436193330432,BL/T04,ns,ns,ns/ns,VA
Clostridium_sp_AF27_2AA,-0.414037873228333,Value,BL,T04,20,20,26,0.00199,-0.767135660920575,-0.160800400164724,Wilcoxon,two.sided,0.536826,-2.9965877823145,-2.52276527290252,0.387859372277947,BL/T04,ns,**,**/ns,VA
Clostridium_sp_AF34_10BH,-0.147192413878634,Value,BL,T04,20,20,56,0.0696,-0.419549310093142,0.0204737188130681,Wilcoxon,two.sided,0.977426086956522,-2.62571224492513,-2.39600117823893,0.206779236656625,BL/T04,ns,ns,ns/ns,VA
Clostridium_sp_AF34_13,-0.03816826487,Value,BL,T04,20,20,89,0.571,-0.247561504567345,0.224818883735342,Wilcoxon,two.sided,0.99807,-2.72713386789656,-2.72620378042263,0.000929655210585997,BL/T04,ns,ns,ns/ns,VA
Clostridium_sp_AF36_4,-0.109607656499149,Value,BL,T04,20,20,76,0.294,-0.427964840643438,0.0964898302854653,Wilcoxon,two.sided,0.99807,-2.90562607766378,-2.68929886029355,0.195835840576981,BL/T04,ns,ns,ns/ns,VA
Clostridium_sp_AM22_11AC,-0.0478476440249818,Value,BL,T04,20,20,96,0.756,-0.347400628908765,0.238135842491605,Wilcoxon,two.sided,0.99807,-2.76885877009636,-2.67750105006541,0.0874225358139542,BL/T04,ns,ns,ns/ns,VA
Clostridium_sp_AM33_3,-0.00995794328377997,Value,BL,T04,20,20,104,0.985,-0.346618880843922,0.388710711145616,Wilcoxon,two.sided,1,-2.87571215376965,-2.92169282647581,-0.0449548881356587,BL/T04,ns,ns,ns/ns,VA
Clostridium_sp_AM42_4,0.165961575757641,Value,BL,T04,20,20,149,0.105,-0.0750479826937587,0.338801574407038,Wilcoxon,two.sided,0.99807,-2.74798562902854,-2.91006334821627,-0.150209540175639,BL/T04,ns,ns,ns/ns,VA
Clostridium_sp_AM49_4BH,0.0604820627440184,Value,BL,T04,20,20,115,0.729,-0.358866064067275,0.385063761654122,Wilcoxon,two.sided,0.99807,-2.82425261520417,-2.79991654110409,0.0240446701357001,BL/T04,ns,ns,ns/ns,VA
Clostridium_sp_AT4,0.38623379844131,Value,BL,T04,20,20,170,0.0136,0.0885309276053683,0.76226562305698,Wilcoxon,two.sided,0.732133333333333,-2.53844301991668,-2.97937569258069,-0.365290593277693,BL/T04,ns,*,*/ns,VA
Clostridium_symbiosum,0.158461313267456,Value,BL,T04,20,20,129,0.388,-0.240706149260664,0.410503957001435,Wilcoxon,two.sided,0.99807,-2.79042156913024,-2.86755205040886,-0.0743005433694045,BL/T04,ns,ns,ns/ns,VA
Collinsella_aerofaciens,0.0255964839779795,Value,BL,T04,20,20,111,0.841,-0.230615925120526,0.236916265784457,Wilcoxon,two.sided,0.99807,-2.68453087590107,-2.69256048988838,-0.0079975481732924,BL/T04,ns,ns,ns/ns,VA
Collinsella_SGB14861,-0.0868581909603163,Value,BL,T04,20,20,90,0.596,-0.351228719529877,0.305017599750236,Wilcoxon,two.sided,0.99807,-2.78726063479307,-2.79061786863977,-0.00335161091862128,BL/T04,ns,ns,ns/ns,VA
Collinsella_SGB4121,0.113964977494239,Value,BL,T04,20,20,133,0.312,-0.0899350597296251,0.358718281065231,Wilcoxon,two.sided,0.99807,-2.66333168320454,-2.82241117269011,-0.147626146549001,BL/T04,ns,ns,ns/ns,VA
Coprobacillus_cateniformis,0.0385521027560023,Value,BL,T04,20,20,116,0.701,-0.163705578519326,0.236133077256251,Wilcoxon,two.sided,0.99807,-2.81823793669222,-2.86235541978967,-0.043172014831775,BL/T04,ns,ns,ns/ns,VA
Coprobacter_fastidiosus,-0.149357717857566,Value,BL,T04,20,20,80,0.368,-0.457551333613659,0.217996098174273,Wilcoxon,two.sided,0.99807,-2.91747091916389,-2.80156686608027,0.109664886323733,BL/T04,ns,ns,ns/ns,VA
Coprobacter_secundus,-0.071516485580982,Value,BL,T04,20,20,87,0.522,-0.27201286406523,0.13659188763832,Wilcoxon,two.sided,0.99807,-2.67920873118315,-2.63287946321469,0.0452881038402153,BL/T04,ns,ns,ns/ns,VA
Coprococcus_catus,0.209233846799462,Value,BL,T04,20,20,136,0.261,-0.119151341459701,0.47717775751834,Wilcoxon,two.sided,0.99807,-2.64296749547213,-2.88095729264296,-0.213488932847859,BL/T04,ns,ns,ns/ns,VA
Coprococcus_comes,0.100898075306841,Value,BL,T04,20,20,125,0.475,-0.199513008534844,0.398652157895003,Wilcoxon,two.sided,0.99807,-2.75989293289967,-2.8282946944023,-0.0661638509818381,BL/T04,ns,ns,ns/ns,VA
Coprococcus_eutactus,0.0656853929643419,Value,BL,T04,20,20,113,0.784,-0.250694652116985,0.337939461518427,Wilcoxon,two.sided,0.99807,-2.61306175167654,-2.68184164895682,-0.066517714940986,BL/T04,ns,ns,ns/ns,VA
Coprococcus_SGB4669,0.255652707467428,Value,BL,T04,20,20,154,0.0696,-0.0172739891223763,0.518022638426774,Wilcoxon,two.sided,0.977426086956522,-2.63348351668705,-2.89959286854416,-0.235948695866299,BL/T04,ns,ns,ns/ns,VA
Desulfovibrio_piger,-0.000715612050423808,Value,BL,T04,20,20,104,0.985,-0.162716457815354,0.177302556055791,Wilcoxon,two.sided,1,-2.81785135373838,-2.80933147735793,0.00848378707310064,BL/T04,ns,ns,ns/ns,VA
Desulfovibrio_SGB5076,0.0499513157344214,Value,BL,T04,20,20,115,0.729,-0.28177651992703,0.473908882972513,Wilcoxon,two.sided,0.99807,-2.8426946459852,-2.9464942665831,-0.0987584282996105,BL/T04,ns,ns,ns/ns,VA
Desulfovibrio_SGB5077,0.0939768355040991,Value,BL,T04,20,20,130,0.368,-0.113813665715445,0.320364256027659,Wilcoxon,two.sided,0.99807,-2.62727610502064,-2.76349303123578,-0.127704258244446,BL/T04,ns,ns,ns/ns,VA
Dialister_hominis,0.0666305416964311,Value,BL,T04,20,20,118,0.648,-0.18722012907737,0.309529507302553,Wilcoxon,two.sided,0.99807,-2.68995458623203,-2.72615147329978,-0.0355571712131303,BL/T04,ns,ns,ns/ns,VA
Dialister_invisus,-0.0484856652164077,Value,BL,T04,20,20,91,0.622,-0.377574266143619,0.353524455338787,Wilcoxon,two.sided,0.99807,-2.7892725061179,-2.8010420764544,-0.0117008476423605,BL/T04,ns,ns,ns/ns,VA
Dorea_formicigenerans,-0.168667748051251,Value,BL,T04,20,20,75,0.277,-0.531246210828555,0.146907193628459,Wilcoxon,two.sided,0.99807,-2.92881766872601,-2.71730199208317,0.191872201052744,BL/T04,ns,ns,ns/ns,VA
Dorea_longicatena,0.156643369863264,Value,BL,T04,20,20,144,0.154,-0.0519265675988554,0.39467453943477,Wilcoxon,two.sided,0.99807,-2.59345083070476,-2.80935384130305,-0.195487019341752,BL/T04,ns,ns,ns/ns,VA
Dorea_sp_AF36_15AT,0.0790784945426367,Value,BL,T04,20,20,120,0.596,-0.17654823649661,0.317975203685003,Wilcoxon,two.sided,0.99807,-2.71952204884538,-2.73018810174382,-0.0106095718213645,BL/T04,ns,ns,ns/ns,VA
Dysosmobacter_sp_BX15,0.107234040581621,Value,BL,T04,20,20,123,0.522,-0.210253604143402,0.307906960521525,Wilcoxon,two.sided,0.99807,-2.65280377657629,-2.72022646514223,-0.0652470406089284,BL/T04,ns,ns,ns/ns,VA
